feature,feature_type,kingdom,phylum,order,class,family,genus,species
Roseomonas unclassified,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas unclassified
Slackia unclassified,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,Slackia unclassified
Slackia exigua,taxon,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,Slackia exigua
Kocuria unclassified,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria unclassified
Thermus unclassified,taxon,Bacteria,Deinococcus Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus unclassified
Myroides unclassified,taxon,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides unclassified
Actinomyces europaeus,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces europaeus
Prevotella oris,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris
Thiothrix unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix unclassified
Variovorax unclassified,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax unclassified
Leptotrichia unclassified,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia unclassified
Clostridium bifermentans,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae noname,Clostridium bifermentans
Campylobacter jejuni,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
Staphylococcus phage PVL,taxon,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Staphylococcus phage PVL
Clostridium colicanis,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium colicanis
Sutterella parvirubra,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella parvirubra
Actinomyces massiliensis,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis
Actinobaculum schaalii,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum schaalii
Streptococcus macedonicus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus
Varibaculum cambriense,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum cambriense
Gentian mosaic virus,taxon,Viruses,Viruses noname,Viruses noname,Picornavirales,Secoviridae,Fabavirus,Gentian mosaic virus
Macrococcus caseolyticus,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus caseolyticus
Vagococcus lutrae,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus lutrae
Enterococcus cecorum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus cecorum
Actinomyces johnsonii,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii
Mycoplasma hominis,taxon,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma hominis
Staphylococcus epidermidis,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
Human adenovirus E,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Adenoviridae,Mastadenovirus,Human adenovirus E
Lactobacillus buchneri,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus buchneri
Prevotella amnii,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella amnii
Catonella morbi,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Catonella,Catonella morbi
Chicory yellow mottle virus large satellite RNA,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Chicory yellow mottle virus large satellite RNA
Dahlia latent viroid,taxon,Viroids,Viroids noname,Viroids noname,Viroids noname,Pospiviroidae,Pospiviroidae noname,Dahlia latent viroid
Leifsonia unclassified,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,Leifsonia unclassified
Thioalkalivibrio unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio unclassified
Labrenzia unclassified,taxon,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Labrenzia unclassified
Propionibacterium acnes,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium acnes
Enterococcus malodoratus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus malodoratus
Enterococcus gilvus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gilvus
Carnobacterium maltaromaticum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum
Scardovia inopinata,taxon,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia inopinata
Lysinibacillus fusiformis,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis
Lysinibacillus unclassified,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus unclassified
Clostridium sordellii,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae noname,Clostridium sordellii
Lysinibacillus boronitolerans,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus boronitolerans
Porphyromonas gingivalis,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
Treponema socranskii,taxon,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema socranskii
Propionibacterium granulosum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium granulosum
Aquabirnavirus unclassified,taxon,Viruses,Viruses noname,Viruses noname,Viruses noname,Birnaviridae,Aquabirnavirus,Aquabirnavirus unclassified
Prevotella ruminicola,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola
Bifidobacterium pseudolongum,taxon,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum
Prevotella denticola,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola
Eremothecium unclassified,taxon,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium unclassified
Porphyromonas endodontalis,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas endodontalis
Selenomonas sputigena,taxon,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Selenomonas sputigena
Alloprevotella rava,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella rava
Treponema denticola,taxon,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola
Fusobacterium varium,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium
Treponema maltophilum,taxon,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema maltophilum
Campylobacter curvus,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter curvus
Streptococcus massiliensis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus massiliensis
Lactobacillus antri,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus antri
Serratia marcescens,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia marcescens
Prevotella salivae,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella salivae
Actinomyces cardiffensis,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces cardiffensis
Shuttleworthia satelles,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,Shuttleworthia satelles
Helicobacter pylori,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
Corynebacterium variabile,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium variabile
Alloprevotella tannerae,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae
Prevotella nigrescens,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens
Filifactor alocis,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Filifactor alocis
Corynebacterium jeikeium,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium
Corynebacterium aurimucosum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum
Eremococcus coleocola,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Eremococcus,Eremococcus coleocola
Corynebacterium amycolatum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
Brevibacterium mcbrellneri,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium mcbrellneri
Enterococcus dispar,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus dispar
Bavariicoccus seileri,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Bavariicoccus,Bavariicoccus seileri
Leucobacter unclassified,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter,Leucobacter unclassified
Enterococcus italicus,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus italicus
Desulfotomaculum ruminis,taxon,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,Desulfotomaculum ruminis
Actinobaculum unclassified,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum unclassified
Brevibacterium massiliense,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium massiliense
Lactobacillus otakiensis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus otakiensis
Lactobacillus brevis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus brevis
Neisseria flavescens,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria flavescens
Neisseria meningitidis,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis
Campylobacter ureolyticus,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter ureolyticus
Aeromonas veronii,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii
Leptotrichia wadei,taxon,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia wadei
Mobiluncus curtisii,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii
Campylobacter rectus,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter rectus
Bacillus subtilis,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
Streptococcus dysgalactiae,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae
Candida albicans,taxon,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales noname,Candida,Candida albicans
Comamonas testosteroni,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni
Arcobacter butzleri,taxon,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter butzleri
Methanobacterium unclassified,taxon,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium unclassified
Streptococcus parauberis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis
Ralstonia unclassified,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia unclassified
Ralstonia pickettii,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii
Providencia rettgeri,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Providencia rettgeri
Giardia intestinalis,taxon,Eukaryota,Eukaryota noname,Eukaryota noname,Eukaryota noname,Hexamitidae,Giardia,Giardia intestinalis
Actinomyces urogenitalis,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis
Neisseria subflava,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria subflava
Escherichia albertii,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia albertii
Streptococcus pseudopneumoniae,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pseudopneumoniae
Debaryomyces hansenii,taxon,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii
Candida tropicalis,taxon,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales noname,Candida,Candida tropicalis
Acinetobacter unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter unclassified
Staphylococcus vitulinus,taxon,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus vitulinus
Enterobacter mori,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter mori
Leuconostoc gasicomitatum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc gasicomitatum
Corynebacterium striatum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium striatum
Corynebacterium pseudodiphtheriticum,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudodiphtheriticum
Dolosigranulum pigrum,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,Dolosigranulum pigrum
Fretibacterium fastidiosum,taxon,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Fretibacterium fastidiosum
Pseudomonas stutzeri,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri
Lactobacillus farciminis,taxon,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus farciminis
Actinobaculum massiliense,taxon,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense
Stenotrophomonas maltophilia,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia
Stenotrophomonas unclassified,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas unclassified
Alcaligenes unclassified,taxon,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes unclassified
Brachyspira pilosicoli,taxon,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira pilosicoli
Prevotella nanceiensis,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nanceiensis
Enhydrobacter aerosaccus,taxon,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,Enhydrobacter aerosaccus
Bacteroides pyogenes,taxon,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides pyogenes
adenosine ribonucleotides de novo biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
L-isoleucine biosynthesis I (from threonine),pathway,NA,NA,NA,NA,NA,NA,NA
L-valine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
cis-vaccenate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
gondoate biosynthesis (anaerobic),pathway,NA,NA,NA,NA,NA,NA,NA
adenine and adenosine salvage III,pathway,NA,NA,NA,NA,NA,NA,NA
peptidoglycan biosynthesis I (meso-diaminopimelate containing),pathway,NA,NA,NA,NA,NA,NA,NA
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),pathway,NA,NA,NA,NA,NA,NA,NA
guanosine ribonucleotides de novo biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
dTDP-L-rhamnose biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
queuosine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
inosine-5'-phosphate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
inosine-5'-phosphate biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
S-adenosyl-L-methionine cycle I,pathway,NA,NA,NA,NA,NA,NA,NA
5-aminoimidazole ribonucleotide biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine biosynthesis VI,pathway,NA,NA,NA,NA,NA,NA,NA
NAD biosynthesis I (from aspartate),pathway,NA,NA,NA,NA,NA,NA,NA
L-lysine biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
thiamin salvage II,pathway,NA,NA,NA,NA,NA,NA,NA
thiamin formation from pyrithiamine and oxythiamine (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of branched amino acid biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
methylerythritol phosphate pathway I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of aromatic amino acid biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",pathway,NA,NA,NA,NA,NA,NA,NA
chorismate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
L-isoleucine biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
peptidoglycan biosynthesis III (mycobacteria),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-isoleucine biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),pathway,NA,NA,NA,NA,NA,NA,NA
pyruvate fermentation to isobutanol (engineered),pathway,NA,NA,NA,NA,NA,NA,NA
chorismate biosynthesis from 3-dehydroquinate,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-threonine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
glycolysis IV (plant cytosol),pathway,NA,NA,NA,NA,NA,NA,NA
5-aminoimidazole ribonucleotide biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
UMP biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
phosphatidylglycerol biosynthesis I (plastidic),pathway,NA,NA,NA,NA,NA,NA,NA
phosphatidylglycerol biosynthesis II (non-plastidic),pathway,NA,NA,NA,NA,NA,NA,NA
starch degradation V,pathway,NA,NA,NA,NA,NA,NA,NA
coenzyme A biosynthesis II (mammalian),pathway,NA,NA,NA,NA,NA,NA,NA
phosphopantothenate biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
CDP-diacylglycerol biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
CDP-diacylglycerol biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
pentose phosphate pathway (non-oxidative branch),pathway,NA,NA,NA,NA,NA,NA,NA
pyruvate fermentation to acetate and lactate II,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-serine and glycine biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
preQ0 biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
pantothenate and coenzyme A biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
GDP-mannose biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-aspartate and L-asparagine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
purine ribonucleosides degradation,pathway,NA,NA,NA,NA,NA,NA,NA
glycolysis III (from glucose),pathway,NA,NA,NA,NA,NA,NA,NA
urate biosynthesis/inosine 5'-phosphate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of thiamin diphosphate biosynthesis III (eukaryotes),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-methionine biosynthesis (transsulfuration),pathway,NA,NA,NA,NA,NA,NA,NA
Calvin-Benson-Bassham cycle,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of S-adenosyl-L-methionine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
galactose degradation I (Leloir pathway),pathway,NA,NA,NA,NA,NA,NA,NA
D-galactose degradation V (Leloir pathway),pathway,NA,NA,NA,NA,NA,NA,NA
L-homoserine and L-methionine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
gluconeogenesis I,pathway,NA,NA,NA,NA,NA,NA,NA
glycolysis VI (metazoan),pathway,NA,NA,NA,NA,NA,NA,NA
N10-formyl-tetrahydrofolate biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
folate transformations II,pathway,NA,NA,NA,NA,NA,NA,NA
glycolysis I (from glucose 6-phosphate),pathway,NA,NA,NA,NA,NA,NA,NA
flavin biosynthesis III (fungi),pathway,NA,NA,NA,NA,NA,NA,NA
coenzyme A biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine biosynthesis IV (archaebacteria),pathway,NA,NA,NA,NA,NA,NA,NA
homolactic fermentation,pathway,NA,NA,NA,NA,NA,NA,NA
L-rhamnose degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
L-arginine biosynthesis I (via L-ornithine),pathway,NA,NA,NA,NA,NA,NA,NA
D-galacturonate degradation I,pathway,NA,NA,NA,NA,NA,NA,NA
seleno-amino acid biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
pyrimidine deoxyribonucleosides salvage,pathway,NA,NA,NA,NA,NA,NA,NA
pantothenate and coenzyme A biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of purine deoxyribonucleosides degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of adenosine nucleotides de novo biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of phospholipid biosynthesis I (bacteria),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of hexuronide and hexuronate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of purine nucleotide salvage,pathway,NA,NA,NA,NA,NA,NA,NA
4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),pathway,NA,NA,NA,NA,NA,NA,NA
glycolysis II (from fructose 6-phosphate),pathway,NA,NA,NA,NA,NA,NA,NA
glutaryl-CoA degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of &beta;-D-glucuronide and D-glucuronate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
guanosine nucleotides degradation III,pathway,NA,NA,NA,NA,NA,NA,NA
4-deoxy-L-threo-hex-4-enopyranuronate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
D-fructuronate degradation,pathway,NA,NA,NA,NA,NA,NA,NA
flavin biosynthesis I (bacteria and plants),pathway,NA,NA,NA,NA,NA,NA,NA
L-methionine biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
tetrapyrrole biosynthesis I (from glutamate),pathway,NA,NA,NA,NA,NA,NA,NA
L-histidine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
adenosine nucleotides degradation II,pathway,NA,NA,NA,NA,NA,NA,NA
purine nucleotides degradation II (aerobic),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of purine nucleotides de novo biosynthesis I,pathway,NA,NA,NA,NA,NA,NA,NA
glycogen biosynthesis I (from ADP-D-Glucose),pathway,NA,NA,NA,NA,NA,NA,NA
acetylene degradation,pathway,NA,NA,NA,NA,NA,NA,NA
L-methionine biosynthesis III,pathway,NA,NA,NA,NA,NA,NA,NA
stachyose degradation,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of L-phenylalanine biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of pyrimidine ribonucleotides de novo biosynthesis,pathway,NA,NA,NA,NA,NA,NA,NA
palmitate biosynthesis II (bacteria and plants),pathway,NA,NA,NA,NA,NA,NA,NA
superpathway of adenosine nucleotides de novo biosynthesis II,pathway,NA,NA,NA,NA,NA,NA,NA
sucrose degradation III (sucrose invertase),pathway,NA,NA,NA,NA,NA,NA,NA
